А,1298
Б,1779
В,553
Г,1061
Д,808
Е,110
Ж,424
З,674
И,368
Й,4
К,2442
Л,743
М,1367
Н,500
О,844
П,1884
Р,612
С,1913
Т,1059
У,287
Ф,203
Х,299
Ц,245
Ч,734
Ш,291
Щ,162
Ъ,0
Ы,0
Ь,0
Э,238
Ю,148
Я,225
